state,city,site,site_name,params,params_query,params_ids,data_availability
Andhra_Pradesh,Amaravati,site_1406,"Secretariat, Amaravati - APPCB",,,,
Andhra_Pradesh,Anantapur,site_5632,"Gulzarpet, Anantapur - APPCB",,,,
Andhra_Pradesh,Chittoor,site_5665,"Gangineni Cheruvu, Chittoor - APPCB",,,,
Andhra_Pradesh,Kadapa,site_5693,"Yerramukkapalli, Kadapa - APPCB",,,,
Andhra_Pradesh,Rajamahendravaram,site_1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB",,,,
Andhra_Pradesh,Tirupati,site_258,"Tirumala, Tirupati - APPCB",,,,
Andhra_Pradesh,,site_5666,"Vaikuntapuram, Tirupati - APPCB",,,,
Andhra_Pradesh,Vijayawada,site_5685,"Kanuru, Vijayawada - APPCB",,,,
Andhra_Pradesh,Visakhapatnam,site_260,"GVM Corporation, Visakhapatnam - APPCB",,,,
Maharashtra,Mumbai,site_5392,"Bandra Kurla Complex, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_168,"Bandra, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5400,"Borivali East, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5113,"Borivali East, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5399,"Chakala-Andheri East, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5120,"Colaba, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5396,"Deonar, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5412,"Kandivali East, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5397,"Khindipada-Bhandup West, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5104,"Kurla, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5402,"Malad West, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5394,"Mazgaon, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5413,"Mulund West, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5398,"Navy Nagar-Colaba, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5112,"Powai, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5403,"Siddharth Nagar-Worli, Mumbai - IITM",,,,
Maharashtra,Mumbai,site_5119,"Sion, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5102,"Vasai West, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5106,"Vile Parle West, Mumbai - MPCB",,,,
Maharashtra,Mumbai,site_5115,"Worli, Mumbai - MPCB",,,,
Tamil Nadu,Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB",,,,
Tamil Nadu,Chennai,site_5361,"Arumbakkam, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_5365,"Kodungaiyur, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_5092,"Manali Village, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_306,"Manali, Chennai - CPCB",,,,
Tamil Nadu,Chennai,site_5363,"Perungudi, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_5364,"Royapuram, Chennai - TNPCB",,,,
Tamil Nadu,Chennai,site_288,"Velachery Res. Area, Chennai - CPCB",,,,
Maharashtra,Ahmednagar,site_5785,"Tarakpur, Ahmednagar - MPCB",,,,
Maharashtra,Akola,site_5784,"Ramdaspeth, Akola - MPCB",,,,
Maharashtra,Amravati,site_5786,"Shivneri Colony, Amravati - MPCB",,,,
Maharashtra,Amravati,site_5787,"Shri Shivaji Science College, Amaravati - MPCB",,,,
Maharashtra,Aurangabad,site_198,"More Chowk Waluj, Aurangabad - MPCB",,,,
Maharashtra,Aurangabad,site_5789,"Rachnakar Colony, Aurangabad - MPCB",,,,
Maharashtra,Aurangabad,site_5788,"MIDC Chilkalthana, Aurangabad - MPCB",,,,
Maharashtra,Badlapur,site_5798,"Katrap, Badlapur - MPCB",,,,
Maharashtra,Belapur,site_5804,"CBD Belapur, Belapur - MPCB",,,,
Maharashtra,Bhiwandi,site_5813,"Gokul Nagar, Bhiwandi - MPCB",,,,
Maharashtra,Boisar,site_5809,"Khaira, Boisar - MPCB",,,,
Maharashtra,Chandrapur,site_271,"Chauhan Colony, Chandrapur - MPCB",,,,
Maharashtra,Chandrapur,site_295,"MIDC Khutala, Chandrapur - MPCB",,,,
Maharashtra,Dhule,site_5801,"Deopur, Dhule - MPCB",,,,
Maharashtra,Jalgaon,site_5790,"Prabhat Colony, Jalgaon - MPCB",,,,
Maharashtra,Jalna,site_5791,"Old MIDC, Jalna - MPCB",,,,
Maharashtra,Kalyan,site_5118,"Khadakpada, Kalyan - MPCB",,,,
Maharashtra,Kolhapur,site_5768,"Shivaji University, Kolhapur - MPCB",,,,
Maharashtra,Kolhapur,site_5769,"Sinchan Bhavan, Kolhapur - MPCB",,,,
Maharashtra,Latur,site_5780,"Sawe Wadi, Latur - MPCB",,,,
Maharashtra,Mahad,site_5783,"Kamble Tarf Birwadi, Mahad - MPCB",,,,
Maharashtra,Malegaon,site_5802,"Mahesh Nagar, Malegaon - MPCB",,,,
,,,,,,,
